# kirjakieli	puhekieli_GENERATED (UNVERIFIED — Finnish speaker must approve)	topic	level
Hän katsoo uutisia joka ilta.	Se kattoo uutisia joka ilta.	media_news	A2
Tiedätkö sinä, mitä maailmassa tapahtuu nyt?	Tiiätkö sä, mitä maailmassa tapahtuu nyt?	media_news	A2
Hallitus sanoi, että asia on tärkeä.	Hallitus sano, et asia on tärkeä.	media_news	A2
Minä en usko kaikkea, mitä lehdessä lukee.	Mä en usko kaikkee, mitä lehdessä lukee.	media_news	A2
Uusi tieto tuli tänään.	Uus tieto tuli tänään.	media_news	A2
Onko sinulla hyvä tapa seurata uutisia?	Onks sul hyvä tapa seurata uutisia?	media_news	A2
Minä opettelen suomea joka päivä.	Mä opettelen suomee joka päivä.	integration	A1
Tämä on minun uusi kotikaupunkini.	Tää on mun uus kotikaupunki.	integration	A1
Hän tulee uudesta maasta.	Se tulee uudesta maasta.	integration	A1
Minä haluan ymmärtää suomalaisia ihmisiä.	Mä haluun ymmärtää suomalaisia ihmisiä.	integration	A1
Suomi on minulle uusi maa.	Suomi on mulle uus maa.	integration	A1
Me voimme puhua suomea yhdessä.	Me voidaan puhua suomee yhdessä.	integration	A1
Tänään minä käyn kaupungilla ensimmäistä kertaa.	Tänään mä käyn kaupungilla ekaa kertaa.	integration	A1
On tärkeää oppia uusia tapoja.	On tärkeetä oppia uusia tapoja.	integration	A1
Minä yritän puhua suomea joka päivä.	Mä yritän puhua suomee joka päivä.	integration	A2
Uuteen maahan muuttaminen on vaikea asia.	Uuteen maahan muuttaminen on vaikee asia.	integration	A2
Hän haluaa ymmärtää suomalaista tapaa elää.	Se haluaa ymmärtää suomalaista tapaa elää.	integration	A2
Minä käyn töissä ja opin samalla kieltä.	Mä käyn töissä ja opin samalla kieltä.	integration	A2
Tämä kaupunki on minulle vielä uusi paikka.	Tää kaupunki on mulle vielä uus paikka.	integration	A2
On tärkeää, että lapset voivat käydä koulua.	On tärkeetä, et lapset voi käydä koulua.	integration	A2
Minä tarvitsen lisää tietoa tästä alueesta.	Mä tarvin lisää tietoo tästä alueesta.	integration	A2
Moni ihminen yrittää löytää töitä uudessa maassa.	Moni ihminen yrittää löytää töitä uudessa maassa.	integration	A2
Kaikilla ihmisillä on oikeus elää hyvin.	Kaikilla ihmisillä on oikeus elää hyvin.	rights_duties	A1
Sinä voit puhua suomea täällä.	Sä voit puhua suomee täällä.	rights_duties	A1
Minulla on oikeus saada tietoa.	Mulla on oikeus saada tietoo.	rights_duties	A1
Lapsi saa apua, jos hän tarvitsee sitä.	Lapsi saa apua, jos se tarvitsee sitä.	rights_duties	A1
Meidän pitää vastata omista teoistamme.	Meidän pitää vastata omista teoistamme.	rights_duties	A1
Jokainen ihminen voi käydä töissä.	Jokainen ihminen voi käydä töissä.	rights_duties	A1
Hallitus tekee tärkeät päätökset.	Hallitus tekee tärkeät päätökset.	rights_duties	A1
Kaikilla ihmisillä on oikeus elää hyvin.	Kaikilla ihmisillä on oikeus elää hyvin.	rights_duties	A1
Jokaisella ihmisellä on oikeus elää turvassa.	Jokaisella ihmisellä on oikeus elää turvassa.	rights_duties	A2
Sinä voit saada apua, jos sinulla on ongelma.	Sä voit saada apua, jos sul on ongelma.	rights_duties	A2
Meidän pitää maksaa verot ajoissa.	Meidän pitää maksaa verot ajoissa.	rights_duties	A2
Lapsella on oikeus käydä koulua.	Lapsella on oikeus käydä koulua.	rights_duties	A2
Minä voin puhua suomea täällä.	Mä voin puhua suomee täällä.	rights_duties	A2
Sinun pitää vastata omista teoistasi.	Sun pitää vastata omista teoistasi.	rights_duties	A2
Jokainen ihminen voi saada apua poliisilta.	Jokainen ihminen voi saada apua poliisilta.	rights_duties	A2
Kaikilla ihmisillä on oikeus saada apua.	Kaikilla ihmisillä on oikeus saada apua.	rights_duties	A2
Minä haluan puhua suomea.	Mä haluun puhua suomea.	yki_exam_prep	A1
Tämä on helppo asia.	Tää on helppo asia.	yki_exam_prep	A1
Sinä voit tehdä sen.	Sä voit tehä sen.	yki_exam_prep	A1
Hän on uusi ihminen täällä.	Se on uus ihminen täällä.	yki_exam_prep	A1
Me menemme kaupunkiin tänään.	Me mennään kaupunkiin tänään.	yki_exam_prep	A1
Minä tarvitsen vähän apua.	Mä tarvin vähän apua.	yki_exam_prep	A1
Onko sinulla aikaa nyt?	Onks sul aikaa nyt?	yki_exam_prep	A1
Kyllä, minä ymmärrän sen.	Joo, mä ymmärrän sen.	yki_exam_prep	A1
Minä olen yrittänyt lukea suomea joka päivä.	Mä oon yrittäny lukee suomee joka päivä.	yki_exam_prep	A2
Kokeessa on monia eri osia.	Kokeessa on monta eri osaa.	yki_exam_prep	A2
Sinä voit käyttää vähän aikaa harjoitteluun joka viikko.	Sä voit käyttää vähän aikaa harjoitteluun joka viikko.	yki_exam_prep	A2
On tärkeää ymmärtää, mitä tehtävässä sanotaan.	On tärkeetä ymmärtää, mitä tehtävässä sanotaan.	yki_exam_prep	A2
Ehkä kannattaa katsoa suomalaisia kuvia ja lukea tekstejä.	Ehkä kannattaa kattoo suomalaisia kuvia ja lukee tekstejä.	yki_exam_prep	A2
Minä tiedän, että koe on vaikea, mutta se on mahdollinen.	Mä tiiän, et koe on vaikee, mut se on mahdollinen.	yki_exam_prep	A2
He voivat auttaa sinua, jos sinulla on ongelma.	Ne voi auttaa sua, jos sul on ongelma.	yki_exam_prep	A2
Minä olen yrittänyt lukea suomea joka päivä.	Mä oon yrittäny lukee suomea joka päivä.	yki_exam_prep	A2
